episode,reward_agent1,reward_agent2,reward_total,success,peak_force_N,peak_torque_Nm,jamming,steps,action1_min,action1_max,action2_min,action2_max,kp_min,kp_max,kd_min,kd_max
20260831,3028.7731636623657,495.6807884672055,3524.453952129571,True,0.0,0.0,False,209,-1.0,1.0,0.5,0.8999999761581421,1.0,228.99999380111694,1.0,44.75000083446503
20260832,3044.132700426673,495.6160230714472,3539.7487234981204,True,0.0,0.0,False,211,-1.0,1.0,0.5,0.8999999761581421,1.0,228.99999380111694,1.0,44.75000083446503
20260833,3320.3569756420693,495.3917268841725,3815.7487025262417,True,0.0,0.0,False,220,-1.0,1.0,0.5,0.8999999761581421,1.0,228.99999380111694,1.0,44.75000083446503
20260834,3196.3618915164557,495.4914140785168,3691.8533055949724,True,0.0,0.0,False,216,-1.0,1.0,0.5,0.8999999761581421,1.0,228.99999380111694,1.0,44.75000083446503
20260835,3089.0615326365455,495.541257675689,3584.6027903122344,True,0.0,0.0,False,214,-1.0,1.0,0.5,0.8999999761581421,1.0,228.99999380111694,1.0,44.75000083446503
20260836,2042.3633940513075,496.3885988276158,2538.7519928789234,True,0.0,0.0,False,180,-1.0,1.0,0.5,0.8999999761581421,1.0,228.99999380111694,1.0,44.75000083446503
20260837,2490.2450583020395,496.06461544599676,2986.3096737480364,True,0.0,0.0,False,193,-1.0,1.0,0.5,0.8999999761581421,1.0,228.99999380111694,1.0,44.75000083446503
20260838,2698.0503408919544,495.91508465448027,3193.9654255464347,True,0.0,0.0,False,199,-1.0,1.0,0.5,0.8999999761581421,1.0,228.99999380111694,1.0,44.75000083446503
20260839,2890.6756016627282,495.57003100185904,3386.2456326645874,True,10.25779361487498,0.0,False,205,-1.0,1.0,0.5,0.8999999761581421,1.0,228.99999380111694,1.0,44.75000083446503
20260840,2597.157854049719,490.9288745337465,3088.0867285834656,True,50.33636845252627,0.0,False,196,-1.0,0.49197542667388916,0.5,0.8999999761581421,1.0,228.99999380111694,1.0,44.75000083446503
