episode,reward_agent1,reward_agent2,reward_total,success,peak_force_N,peak_torque_Nm,jamming,steps,action1_min,action1_max,action2_min,action2_max,kp_min,kp_max,kd_min,kd_max
0,2605.309022670195,495.81772834370406,3101.126751013899,True,0.0,0.0,False,196,-1.0,0.9523638486862183,0.4775991141796112,0.9178553819656372,1.0,233.618905544281,1.0,45.40380835533142
1,2425.0628600794566,495.96184343287115,2921.024703512328,True,0.0,0.0,False,191,-1.0,1.0,0.4817480146884918,0.9185613393783569,1.0,232.89692163467407,1.0,45.338895320892334
2,3897.8299698498554,490.7277295491697,4388.557699399025,True,43.470001759876865,0.0,False,247,-1.0,1.0,0.48211032152175903,0.9162685871124268,1.0,233.31942200660706,1.0,45.74652314186096
3,3671.833316569969,494.72844095900086,4166.56175752897,True,0.0,0.0,False,238,-1.0,1.0,0.48520952463150024,0.9171246886253357,1.0,234.75545525550842,1.0,45.27635216712952
4,2756.7089850060993,495.67481588074133,3252.3838008868406,True,0.0,0.0,False,201,-1.0,0.9852091073989868,0.48506444692611694,0.9188827872276306,1.0,233.88586044311523,1.0,45.24730235338211
5,3353.4439792826042,495.12303490158797,3848.567014184192,True,0.8621512415307402,0.0,False,223,-1.0,1.0,0.4845263361930847,0.9195914268493652,1.0,233.54687452316284,1.0,45.43354868888855
6,2018.0266817213912,496.27028503402886,2514.2969667554203,True,0.0,0.0,False,179,-1.0,1.0,0.48879361152648926,0.9175909757614136,1.0,234.04977440834045,1.0,45.39153963327408
7,3290.8012912569307,495.22873077659233,3786.030022033523,True,0.0,0.0,False,219,-1.0,1.0,0.48490846157073975,0.923552930355072,1.0,234.70054864883423,1.0,45.28853327035904
8,2778.4279534292814,495.6618225614362,3274.0897759907175,True,0.0,0.0,False,203,-1.0,1.0,0.4854004383087158,0.9183588624000549,1.0,234.58594679832458,1.0,45.48159301280975
9,1545.6291892270563,496.61575975174793,2042.2449489788041,True,0.0,0.0,False,166,-1.0,0.5165351033210754,0.484417200088501,0.9144218564033508,1.0,233.45895886421204,1.0,45.20797610282898
10,2766.3983399812614,495.7127587893364,3262.111098770598,True,0.0,0.0,False,201,-1.0,0.9929556250572205,0.48573562502861023,0.9167335629463196,1.0,234.16704177856445,1.0,45.31831741333008
11,1415.0860321953564,496.7212831786479,1911.8073153740042,True,0.0,0.0,False,162,-1.0,0.40331029891967773,0.4835299551486969,0.9174104928970337,1.0,233.60409021377563,1.0,45.29433488845825
12,1606.034966867793,496.5623981900763,2102.5973650578694,True,0.0,0.0,False,168,-1.0,0.3266744315624237,0.48697155714035034,0.9161953330039978,1.0,233.64667654037476,1.0,45.36478877067566
13,3219.5459431238082,495.3071903052646,3714.853133429073,True,0.0,0.0,False,216,-1.0,0.9974207878112793,0.4829086661338806,0.9185999631881714,1.0,233.61072301864624,1.0,45.36475747823715
14,2941.8803084851575,495.58116389835783,3437.4614723835152,True,0.0,0.0,False,206,-1.0,0.9888343811035156,0.4846775233745575,0.9200518131256104,1.0,233.52049827575684,1.0,45.28953671455383
15,2835.645427351802,488.78366723503393,3324.429094586836,True,56.43912080213405,0.0,False,203,-1.0,0.3631027638912201,0.4798801839351654,0.9179320931434631,1.0,233.96078944206238,1.0,45.26910901069641
16,3786.5857819735306,494.627291597203,4281.213073570733,True,0.0,0.0,False,241,-1.0,1.0,0.4832916855812073,0.9183258414268494,1.0,233.92206192016602,1.0,45.33179819583893
17,2625.6507921236825,495.8044800288716,3121.4552721525542,True,0.0,0.0,False,196,-1.0,0.3829515278339386,0.4853220283985138,0.9178149700164795,1.0,233.3802330493927,1.0,45.505156219005585
18,2577.5983946754686,495.8175691036635,3073.415963779132,True,0.0,0.0,False,195,-1.0,0.8753821849822998,0.4858083128929138,0.9201270937919617,1.0,233.61842513084412,1.0,45.28639495372772
19,3115.048251695421,495.3610059966076,3610.409257692029,True,0.0,0.0,False,213,-1.0,1.0,0.4860880374908447,0.9185380339622498,1.0,232.99123764038086,1.0,45.27769148349762
20,2580.6327758001653,495.8091673228277,3076.441943122993,True,0.0,0.0,False,195,-1.0,1.0,0.484647274017334,0.9170606136322021,1.0,233.8864028453827,1.0,45.155434012413025
21,2962.097122555563,495.5054207390086,3457.6025432945717,True,0.0,0.0,False,207,-1.0,0.9967437386512756,0.4831610918045044,0.9172400236129761,1.0,232.8061079978943,1.0,45.380649864673615
22,2783.8822501781783,495.66066245679644,3279.5429126349745,True,0.0,0.0,False,201,-1.0,1.0,0.4891805350780487,0.9194996953010559,1.0,232.34790205955505,1.0,45.343153178691864
23,3661.001277268943,494.75440769721536,4155.755684966158,True,0.0,0.0,False,236,-1.0,1.0,0.4871561825275421,0.9227952361106873,1.0,232.25891709327698,1.0,45.15764743089676
24,3293.9397909198506,452.0473918187672,3745.987182738618,True,98.50589055048151,0.0,False,220,-1.0,1.0,0.48733285069465637,0.9169837236404419,1.0,232.3223626613617,1.0,45.276433527469635
25,2573.67550415457,495.84002890777003,3069.5155330623397,True,0.0,0.0,False,195,-1.0,1.0,0.4852030575275421,0.9147046804428101,1.0,232.93574213981628,1.0,45.130512714385986
26,2705.0626739641625,495.6956333158174,3200.75830727998,True,0.0,0.0,False,200,-1.0,1.0,0.4851994216442108,0.9134669899940491,1.0,232.30640053749084,1.0,45.14320909976959
27,2774.511158280694,495.6614609414045,3270.1726192220985,True,0.0,0.0,False,201,-1.0,1.0,0.48463428020477295,0.914600670337677,1.0,232.57784962654114,1.0,45.251359939575195
28,2654.135593310445,495.7681451738817,3149.903738484327,True,0.0,0.0,False,197,-1.0,0.904075562953949,0.4869979918003082,0.9145514965057373,1.0,234.1608428955078,1.0,45.16829311847687
29,3011.4567306426447,495.47681246803194,3506.9335431106765,True,0.0,0.0,False,208,-1.0,1.0,0.48609215021133423,0.9137213230133057,1.0,232.9578721523285,1.0,45.18033027648926
30,2322.8183810461687,496.003669101289,2818.822050147458,True,0.0,0.0,False,188,-1.0,0.6709036827087402,0.4854828119277954,0.912306547164917,1.0,232.44017243385315,1.0,45.06305456161499
31,2139.65511380294,496.15582372905993,2635.810937532,True,0.0,0.0,False,182,-1.0,0.84437495470047,0.49002328515052795,0.9156786203384399,1.0,231.85823678970337,1.0,45.145933628082275
32,2724.864278348043,495.6945850162745,3220.558863364318,True,0.0,0.0,False,199,-1.0,1.0,0.4896102547645569,0.9179529547691345,1.0,233.09306979179382,1.0,45.085084438323975
33,1344.8021284026108,431.54777732746066,1776.3499057300714,True,112.94876536673281,0.0,False,162,-1.0,1.0,0.48141685128211975,0.9189828038215637,1.0,231.73292636871338,1.0,45.19855082035065
34,2917.4722539017166,495.5354841055552,3413.0077380072717,True,0.0,0.0,False,205,-1.0,1.0,0.4908253848552704,0.9172398447990417,1.0,232.39006996154785,1.0,45.061767399311066
35,3340.0203371437588,468.6309553000873,3808.651292443846,True,85.21352650589823,0.0,False,221,-1.0,1.0,0.4883115291595459,0.9169582724571228,1.0,234.14054155349731,1.0,45.12150466442108
36,3130.8459242650983,495.32646943069506,3626.1723936957933,True,0.0,0.0,False,213,-1.0,1.0,0.48704344034194946,0.9148369431495667,1.0,232.73382902145386,1.0,44.931398928165436
37,2660.1785513980985,495.73390209926265,3155.912453497361,True,0.0,0.0,False,197,-1.0,0.15537281334400177,0.48411479592323303,0.9165772795677185,1.0,233.74170541763306,1.0,44.975304305553436
38,2424.705244528769,491.5321720858055,2916.2374166145746,True,47.02292843960261,0.0,False,190,-1.0,0.3887634873390198,0.48862743377685547,0.9204962849617004,1.0,233.40192914009094,1.0,45.124531686306
39,2925.7148013314536,495.52989102935,3421.2446923608036,True,0.0,0.0,False,205,-1.0,0.987761914730072,0.4868444502353668,0.9192042946815491,1.0,232.76820182800293,1.0,45.15511691570282
40,3111.7928303176345,495.4106415708535,3607.203471888488,True,0.0,0.0,False,210,-1.0,0.9970645904541016,0.487356960773468,0.913131833076477,1.0,232.59227752685547,1.0,44.95114654302597
41,2050.017566570172,496.2169121873661,2546.2344787575385,True,0.0,0.0,False,179,-1.0,1.0,0.4916157126426697,0.9218893051147461,1.0,232.40020513534546,1.0,44.98290628194809
42,2124.364959026444,482.2533330362337,2606.618292062678,True,69.89574615004743,0.0,False,181,-1.0,1.0,0.4816564917564392,0.9181308150291443,1.0,232.2271478176117,1.0,45.201744735240936
43,2401.9065072520257,495.9723529589426,2897.8788602109685,True,0.0,0.0,False,189,-1.0,0.40348684787750244,0.48803481459617615,0.9201599359512329,1.0,233.2637095451355,1.0,44.97048318386078
44,2871.003983164363,490.5110255996104,3361.5150087639736,True,50.56835215745121,0.0,False,203,-1.0,0.9873561859130859,0.4900965392589569,0.9161949157714844,1.0,231.40918970108032,1.0,44.92569327354431
45,3314.5745848576394,491.3271660238197,3805.901750881459,True,44.142466575016364,0.0,False,218,-1.0,1.0,0.49020814895629883,0.9178793430328369,1.0,233.3837354183197,1.0,45.037809908390045
