episode,reward_agent1,reward_agent2,reward_total,success,peak_force_N,peak_torque_Nm,jamming,steps,action1_min,action1_max,action2_min,action2_max,kp_min,kp_max,kd_min,kd_max
0,909.5730797984518,249.96191523887015,1159.534995037322,True,0.0,0.0,False,50,-1.0,0.1264955997467041,0.14321336150169373,0.964296281337738,17.017405731976034,486.9752296805382,0.9484727501869201,5.333338558673859
1,911.2395437341469,249.96104907619912,1161.200592810346,True,0.0,0.0,False,50,-1.0,0.13441818952560425,0.14468605816364288,0.9567327499389648,16.88206872493029,487.9652997851372,0.9521322548389435,5.315455973148346
2,908.7900387541941,249.9623770237761,1158.7524157779703,True,0.0,0.0,False,50,-1.0,0.18516352772712708,0.13861487805843353,0.9584544897079468,17.09190687388182,486.58279699087143,0.9491711974143981,5.296294778585433
3,903.3703099941116,249.9659693268551,1153.3362793209667,True,0.0,0.0,False,48,-1.0,0.1243457943201065,0.1435810923576355,0.9668929576873779,16.680236846208572,487.6003940105438,0.9532243192195892,5.384125351905822
4,904.8128437549851,249.97365492203306,1154.7864986770182,True,0.0,0.0,False,48,-1.0,0.4069068431854248,0.15049752593040466,0.9631248116493225,16.90087107717991,486.95952248573303,0.949787825345993,5.359454810619354
5,904.4501690924717,249.98368096257994,1154.4338500550516,True,0.0,0.0,False,48,-1.0,0.09468357264995575,0.144929438829422,0.9580104351043701,17.17245015203953,489.48253840208054,0.9504805564880371,5.352408379316329
6,8912.436716370212,-2491243.356240559,-2482330.9195241886,True,34933.68152714471,0.0,True,780,-0.9305670261383057,0.7863469123840332,0.13431371748447418,0.9700150489807129,16.38460758775473,489.7323254942894,0.9469172239303588,5.395052671432494
7,877.542838665899,249.97867391951505,1127.521512585414,True,0.0,0.0,False,47,-1.0,0.3604890704154968,0.13871128857135773,0.9601866602897644,16.61306745707989,488.4466275572777,0.9524437606334686,5.360653311014175
8,783.4860114036005,-52301.5439063998,-51518.0578949962,False,4781.171279971398,0.0,True,1600,-0.6482067108154297,0.6566606760025024,0.127505823969841,0.9777448773384094,16.22616871446371,490.34036695957184,0.9501535296440125,5.422107070684432
9,7314.737792992135,-16436.526347190505,-9121.78855419837,True,2151.722287529701,0.0,True,720,-0.9146101474761963,0.9982506036758423,0.13258826732635498,0.966021716594696,16.449692580103875,490.12588173151016,0.9461744248867034,5.373611718416214
