seed,variant,success,steps,completion_time_s,peg1_depth_m,peg2_depth_m,mean_depth_m,min_depth_m,peg1_lateral_error_m,peg2_lateral_error_m,mean_lateral_error_m,max_lateral_error_m,orientation_error_deg,peak_contact_force_N,mean_force_all_steps_N,mean_force_contact_steps_N,peak_contact_torque_Nm,contact_steps,mean_trajectory_residual_norm,peak_trajectory_residual_norm,mean_impedance_residual_norm,peak_impedance_residual_norm,mean_impedance_k_parallel,mean_impedance_k_lateral,mean_impedance_k_rotation,mean_impedance_d_parallel,mean_impedance_d_lateral,mean_impedance_d_rotation,jam,final_stage,failure_reason,setting,train_seed,checkpoint
41000000,controller_only,1,207,1.6560000000000001,0.06250719276375398,0.06246029068865336,0.06248374172620367,0.06246029068865336,0.0007909073315604891,0.00076919601774205,0.0007800516746512696,0.0007909073315604891,0.5595440911412791,56.152984576771594,0.2712704568926164,9.358830762795266,0.0,6,0.0,0.0,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000001,controller_only,1,381,3.048,0.04017768530599153,0.040109411839485756,0.04014354857273864,0.040109411839485756,0.0007603503407220148,0.0006333726374210777,0.0006968614890715463,0.0007603503407220148,0.31895646980210723,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000002,controller_only,1,205,1.6400000000000001,0.06203060856424364,0.06195208950438072,0.06199134903431218,0.06195208950438072,0.0008842920398335259,0.0008630079233222682,0.0008736499815778971,0.0008842920398335259,0.5450475606599274,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000003,controller_only,1,393,3.144,0.04073206074646403,0.040656881670011816,0.04069447120823792,0.040656881670011816,0.0009895425190240739,0.0008924198162802975,0.0009409811676521857,0.0009895425190240739,0.34057047177460253,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000004,controller_only,1,385,3.08,0.04034060731206572,0.040253049412076455,0.04029682836207109,0.040253049412076455,0.0008568560606362033,0.0007314859610472895,0.0007941710108417464,0.0008568560606362033,0.3398174486392251,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000005,controller_only,1,274,2.192,0.04896953020008796,0.04892913755445233,0.04894933387727014,0.04892913755445233,0.0008125240759026603,0.0009403818233695693,0.0008764529496361148,0.0009403818233695693,0.3209213810147324,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000006,controller_only,1,237,1.8960000000000001,0.06637515949366529,0.06618074841050217,0.06627795395208373,0.06618074841050217,0.0006614287496740077,0.0005448610146072008,0.0006031448821406042,0.0006614287496740077,0.357502695663341,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000007,controller_only,1,431,3.448,0.04267367160587136,0.04262057313323202,0.04264712236955169,0.04262057313323202,0.0009262823321489093,0.0008887553033602713,0.0009075188177545903,0.0009262823321489093,0.3060509551851559,55.73451070363787,0.1293144099852387,9.289085117272979,0.0,6,0.0,0.0,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000008,controller_only,1,207,1.6560000000000001,0.06152861266488749,0.06145769467659526,0.061493153670741374,0.06145769467659526,0.0006124416764478676,0.000658536947814038,0.0006354893121309527,0.000658536947814038,0.5307408087511685,63.11339809183985,0.30489564295574806,10.518899681973307,0.0,6,0.0,0.0,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000009,controller_only,1,273,2.184,0.04819384384699482,0.0481590124418155,0.04817642814440516,0.0481590124418155,0.000831949192154977,0.0009628314510052275,0.0008973903215801023,0.0009628314510052275,0.2495891561864758,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000010,controller_only,1,383,3.064,0.04046296868150681,0.04038230451844857,0.04042263659997769,0.04038230451844857,0.0007285134645833672,0.0007011463782355808,0.000714829921409474,0.0007285134645833672,0.28936568391078793,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000011,controller_only,1,247,1.976,0.06170368967419636,0.0616804298107,0.06169205974244818,0.0616804298107,0.0009098756514430007,0.000749199622249634,0.0008295376368463173,0.0009098756514430007,0.2366942705146389,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000012,controller_only,1,250,2.0,0.06057652996644898,0.06019041151172522,0.0603834707390871,0.06019041151172522,0.0008929338691031745,0.0009005205072771222,0.0008967271881901483,0.0009005205072771222,0.25413920397732676,54.071010454656914,0.21628404181862765,10.814202090931383,0.0,5,0.0,0.0,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
