episode,reward_agent1,reward_agent2,reward_total,success,peak_force_N,peak_torque_Nm,jamming,steps,action1_min,action1_max,action2_min,action2_max,kp_min,kp_max,kd_min,kd_max
20360825,-200.07618989128588,-0.6549892638699597,-200.73117915515584,False,0.0,0.0,False,800,-1.0,1.0,0.4995957016944885,0.9003394246101379,1.0,209.93054151535034,1.0,44.70839023590088
20360826,-253.36540262499284,-0.6449759470076448,-254.0103785720005,False,0.0,0.0,False,800,-1.0,1.0,0.49959689378738403,0.9003429412841797,1.0,209.93897199630737,1.0,44.70631241798401
20360827,-139.4807948273128,-0.6449481369559952,-140.1257429642688,False,0.0,0.0,False,800,-1.0,1.0,0.4995952844619751,0.9003075957298279,1.0,209.92978990077972,1.0,44.70588058233261
20360828,4481.620320411773,499.3548833104827,4980.975203722255,True,0.0,0.0,False,296,-1.0,0.3163929283618927,0.49952200055122375,0.9003904461860657,1.0,229.62112188339233,1.0,44.70876157283783
20360829,4381.146562253233,499.35487879907004,4880.501441052304,True,0.0,0.0,False,304,-1.0,0.9998722076416016,0.4995177388191223,0.900386393070221,1.0,229.61070775985718,1.0,44.708853363990784
20360830,5525.963659796809,499.3448447222604,6025.308504519069,True,0.0,0.0,False,353,-1.0,0.9998310208320618,0.49950921535491943,0.9004009366035461,1.0,229.61901426315308,1.0,44.71076011657715
20360831,-137.96216271453966,-0.6449516498079683,-138.60711436434764,False,0.0,0.0,False,800,-1.0,0.6838139295578003,0.4995979964733124,0.9003103375434875,1.0,209.92700815200806,1.0,44.705534279346466
20360832,4464.018176582367,499.3549176471375,4963.373094229505,True,0.0,0.0,False,303,-1.0,0.809880793094635,0.4995172917842865,0.9003940224647522,1.0,229.61588382720947,1.0,44.707612097263336
20360833,-139.8990622363067,-0.644963808941283,-140.54402604524796,False,0.0,0.0,False,800,-1.0,0.6502141356468201,0.49958857893943787,0.9003121256828308,1.0,209.93073523044586,1.0,44.706796407699585
20360834,-91.4232968994753,-0.6450993232361172,-92.06839622271143,False,0.0,0.0,False,800,-1.0,1.0,0.49956923723220825,0.9003164172172546,1.0,229.58096861839294,1.0,44.70798343420029
