seed,variant,success,steps,completion_time_s,peg1_depth_m,peg2_depth_m,mean_depth_m,min_depth_m,peg1_lateral_error_m,peg2_lateral_error_m,mean_lateral_error_m,max_lateral_error_m,orientation_error_deg,peak_contact_force_N,mean_force_all_steps_N,mean_force_contact_steps_N,peak_contact_torque_Nm,contact_steps,mean_trajectory_residual_norm,peak_trajectory_residual_norm,mean_impedance_residual_norm,peak_impedance_residual_norm,mean_impedance_k_parallel,mean_impedance_k_lateral,mean_impedance_k_rotation,mean_impedance_d_parallel,mean_impedance_d_lateral,mean_impedance_d_rotation,jam,final_stage,failure_reason,setting,train_seed,checkpoint
41000000,a2po,1,212,1.696,0.060259839351775854,0.060020120152803114,0.060139979752289484,0.060020120152803114,0.0008928182618671723,0.000815260449402335,0.0008540393556347536,0.0008928182618671723,0.7511213820517121,0.0,0.0,0.0,0.0,5,0.04252601700246264,0.055577173829078674,0.07827696838539164,0.10446084290742874,0.4870287149019961,0.6618514207174193,0.6536634404141948,0.8603474014210251,0.9122536539469125,0.9126153003494695,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000001,a2po,1,316,2.528,0.03894878426126014,0.03870648213219258,0.03882763319672636,0.03870648213219258,0.0009632120237572836,0.0008246983477377439,0.0008939551857475138,0.0009632120237572836,0.5427380397859776,0.0,0.0,0.0,0.0,6,0.038280563271321545,0.05534353107213974,0.08633282610518811,0.10550030320882797,0.47410975896482227,0.6745565097920502,0.6579968999081021,0.8712979919171031,0.9252857315012172,0.9255634908434711,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000002,a2po,1,209,1.672,0.0600093082430212,0.05974082946565146,0.05987506885433633,0.05974082946565146,0.0009737891408900312,0.0008899263122382017,0.0009318577265641165,0.0009737891408900312,0.7921889103913637,0.0,0.0,0.0,0.0,6,0.04216584913281091,0.05521584302186966,0.07845053367949488,0.10474582016468048,0.4841656489520552,0.664742447542802,0.6545258369742398,0.8628401057571886,0.9151050950351515,0.9154532098313838,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000003,a2po,1,356,2.848,0.037274628668131415,0.03712495861128104,0.03719979363970623,0.03712495861128104,0.0009050236498537158,0.0009880269509647426,0.0009465253004092292,0.0009880269509647426,0.4541014740887637,0.0,0.0,0.0,0.0,6,0.03645263601413645,0.05569025129079819,0.08994435713354372,0.10552719980478287,0.47227814701500903,0.6760953214396251,0.6584443804923068,0.8724142495500907,0.9271133208877584,0.9273819838012203,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000004,a2po,1,318,2.544,0.038685587050522746,0.0384394147993683,0.03856250092494552,0.0384394147993683,0.0009888866517974051,0.0008509111828729949,0.0009198989173352,0.0009888866517974051,0.5588009840577195,0.0,0.0,0.0,0.0,6,0.038173488216802665,0.05554815009236336,0.08685811572421179,0.10552065074443817,0.4746482729349496,0.6739657663699216,0.6578069460466973,0.8707539011847298,0.9247489232312208,0.9250290174529238,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000005,a2po,1,247,1.976,0.06211827166603888,0.06174546282250547,0.061931867244272173,0.06174546282250547,0.0007918874439065451,0.0008761076374382419,0.0008339975406723935,0.0008761076374382419,0.4817221426696832,0.0,0.0,0.0,0.0,5,0.04244162502928603,0.05539468675851822,0.08285086276763787,0.10537190735340118,0.4802216630474276,0.6684196456241221,0.6557758954855112,0.8658798602428514,0.9190755838807295,0.9194016070501042,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000006,a2po,1,260,2.08,0.05730560871180411,0.056951521702019586,0.05712856520691185,0.056951521702019586,0.0005834642844565623,0.0006435705695085686,0.0006135174269825655,0.0006435705695085686,0.24739476242298042,9.588759358657144,0.036879843687142866,1.5981265597761907,0.0,6,0.04152969926094206,0.055545873939991,0.08630363319355708,0.10554531961679459,0.4785217278278791,0.6698666329567249,0.6561430348799779,0.8669013491043678,0.9207795901940419,0.921090773664988,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000007,a2po,1,357,2.856,0.037223971990688554,0.03708122065589184,0.037152596323290196,0.03708122065589184,0.0008443728549348712,0.000886486006097221,0.000865429430516046,0.000886486006097221,0.4517297589498093,0.0,0.0,0.0,0.0,5,0.03651531961425638,0.05562683194875717,0.09160584953277051,0.10558173805475235,0.4712882906782861,0.6769419534533632,0.6586335293051242,0.8730134302828493,0.9280889186204648,0.9283521265542808,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000008,a2po,1,257,2.056,0.05825886548118443,0.058022972116435756,0.058140918798810094,0.058022972116435756,0.00042544528380772975,0.0004700526784354502,0.00044774898112159,0.0004700526784354502,0.34508591638668273,0.0,0.0,0.0,0.0,6,0.04148248978075118,0.055321104824543,0.08056104893285188,0.10533883422613144,0.4812914928573579,0.6680200248376869,0.6560056919253754,0.8660660877765849,0.9181707339064157,0.9184556090878142,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000009,a2po,1,243,1.944,0.06216765809365826,0.06183517281008624,0.06200141545187225,0.06183517281008624,0.0008506996863827139,0.0009213549810862123,0.0008860273337344631,0.0009213549810862123,0.6504268966977116,47.96844619368116,0.19740101314272082,6.85263517052588,0.0,7,0.04246648451037429,0.05494895577430725,0.08133375325044732,0.10527512431144714,0.47796567575431165,0.6706856761449649,0.6564070984659862,0.8677905636069215,0.9212944652317974,0.9216201052744202,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000010,a2po,1,348,2.7840000000000003,0.03745289963324075,0.03726949735217461,0.03736119849270768,0.03726949735217461,0.0007833162409639281,0.0009019264444363816,0.0008426213427001549,0.0009019264444363816,0.4258912385105054,0.0,0.0,0.0,0.0,6,0.03672962511445385,0.05527292937040329,0.08814848995307224,0.10545453429222107,0.47141146454317817,0.6770819156676874,0.6587602544104916,0.873348645437723,0.927970274597749,0.9282397996077593,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000011,a2po,1,254,2.032,0.05884745781793668,0.05864015608000778,0.05874380694897223,0.05864015608000778,0.0005586105266262869,0.0005135077510924432,0.0005360591388593651,0.0005586105266262869,0.3751419743116809,0.0,0.0,0.0,0.0,5,0.041474668463090746,0.055197574198246,0.08714939503908509,0.10557033866643906,0.47618365276047564,0.672325440983134,0.6568580225227386,0.8690187170749574,0.9231587815003133,0.923433881575667,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000012,a2po,1,257,2.056,0.05793990787619427,0.05758658941547207,0.05776324864583317,0.05758658941547207,0.0006312028330997733,0.0006810445762672139,0.0006561237046834936,0.0006810445762672139,0.3501222819379577,0.0,0.0,0.0,0.0,5,0.041574621381027924,0.05532008782029152,0.08605115391234305,0.10551777482032776,0.4772976454825717,0.671143699248941,0.6565074904419569,0.8680040397996569,0.922006883509892,0.922306561284492,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000013,a2po,1,257,2.056,0.05755090097913998,0.057211582527499166,0.05738124175331957,0.057211582527499166,0.0009223043792347733,0.0004922038325398833,0.0007072541058873282,0.0009223043792347733,0.3662598111927378,0.0,0.0,0.0,0.0,6,0.04091762903722634,0.05513927713036537,0.08454030680611498,0.10549653321504593,0.4760653601546232,0.6725192582560884,0.6570158343370787,0.8693243494757419,0.9232429143055868,0.9235421215049952,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
