seed,variant,success,steps,completion_time_s,peg1_depth_m,peg2_depth_m,mean_depth_m,min_depth_m,peg1_lateral_error_m,peg2_lateral_error_m,mean_lateral_error_m,max_lateral_error_m,orientation_error_deg,peak_contact_force_N,mean_force_all_steps_N,mean_force_contact_steps_N,peak_contact_torque_Nm,contact_steps,mean_trajectory_residual_norm,peak_trajectory_residual_norm,mean_impedance_residual_norm,peak_impedance_residual_norm,mean_impedance_k_parallel,mean_impedance_k_lateral,mean_impedance_k_rotation,mean_impedance_d_parallel,mean_impedance_d_lateral,mean_impedance_d_rotation,jam,final_stage,failure_reason,setting,train_seed,checkpoint
42000000,no_adaptive_impedance,0,1600,12.8,0.0,0.0,0.0,0.0,0.011337217382771254,0.012208085647435972,0.011772651515103613,0.012208085647435972,1.0332380835646713,0.0,0.0,0.0,0.0,0,0.03636172702652402,0.05600980669260025,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,FIRST_CONTACT,coarse_alignment,hard,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
42000001,no_adaptive_impedance,0,1600,12.8,0.0,0.0,0.0,0.0,0.008250936452521009,0.00879427497513933,0.00852260571383017,0.00879427497513933,0.7879720437507758,0.0,0.0,0.0,0.0,0,0.033169793055276384,0.05538894608616829,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,FIRST_CONTACT,contact_alignment,hard,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
42000002,no_adaptive_impedance,0,1600,12.8,0.0,0.0,0.0,0.0,0.0076964902607901805,0.007430029062360558,0.007563259661575369,0.0076964902607901805,0.67131282879014,0.0,0.0,0.0,0.0,0,0.033159856537822635,0.053940046578645706,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,FIRST_CONTACT,contact_alignment,hard,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
42000003,no_adaptive_impedance,1,318,2.544,0.03608586673493219,0.035703556360260374,0.035894711547596284,0.035703556360260374,0.0009338996597930578,0.0008685473289248268,0.0009012234943589423,0.0009338996597930578,0.6318359327712362,11.203755941889282,0.035231936924180134,1.8672926569815471,0.0,6,0.03705251257304313,0.05389015004038811,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,hard,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
42000004,no_adaptive_impedance,0,1600,12.8,0.0,0.0,0.0,0.0,0.008495682986274747,0.008809405663624132,0.00865254432494944,0.008809405663624132,0.7592091292682244,0.0,0.0,0.0,0.0,0,0.033543436191393994,0.05542265623807907,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,FIRST_CONTACT,contact_alignment,hard,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
42000005,no_adaptive_impedance,0,1600,12.8,0.0,0.0,0.0,0.0,0.01247082709591034,0.012274407559061472,0.012372617327485905,0.01247082709591034,1.0819164729401458,0.0,0.0,0.0,0.0,0,0.03822272413759492,0.05601908266544342,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,FIRST_CONTACT,coarse_alignment,hard,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
42000006,no_adaptive_impedance,1,353,2.824,0.03782993183449586,0.037622509380535255,0.037726220607515557,0.037622509380535255,0.0006795929067729632,0.000972655388057871,0.000826124147415417,0.000972655388057871,0.36208890842425795,0.0,0.0,0.0,0.0,6,0.03625099559607401,0.05452417582273483,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,hard,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
42000007,no_adaptive_impedance,1,227,1.816,0.06419247243847313,0.06400026161535943,0.06409636702691629,0.06400026161535943,0.0005131652949807484,0.0005159135377449552,0.0005145394163628518,0.0005159135377449552,0.854486339151777,1.8456255224638294,0.008130508909532288,0.36912510449276587,0.0,5,0.04306935733553465,0.05279512703418732,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,hard,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
42000008,no_adaptive_impedance,1,242,1.936,0.0594681335637286,0.05937896430101455,0.059423548932371575,0.05937896430101455,0.0006494597782044714,0.0008114040933772551,0.0007304319357908632,0.0008114040933772551,0.39233235059893895,7.5003170091914475,0.03099304549252664,1.5000634018382895,0.0,5,0.04182313503274186,0.053558263927698135,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,hard,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
42000009,no_adaptive_impedance,0,1600,12.8,0.0,0.0,0.0,0.0,0.008166965172830748,0.008814450303393931,0.008490707738112339,0.008814450303393931,0.7352051826834057,0.0,0.0,0.0,0.0,0,0.03278308063629083,0.055561959743499756,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,FIRST_CONTACT,contact_alignment,hard,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
