seed,variant,success,steps,completion_time_s,peg1_depth_m,peg2_depth_m,mean_depth_m,min_depth_m,peg1_lateral_error_m,peg2_lateral_error_m,mean_lateral_error_m,max_lateral_error_m,orientation_error_deg,peak_contact_force_N,mean_force_all_steps_N,mean_force_contact_steps_N,peak_contact_torque_Nm,contact_steps,mean_trajectory_residual_norm,peak_trajectory_residual_norm,mean_impedance_residual_norm,peak_impedance_residual_norm,mean_impedance_k_parallel,mean_impedance_k_lateral,mean_impedance_k_rotation,mean_impedance_d_parallel,mean_impedance_d_lateral,mean_impedance_d_rotation,jam,final_stage,failure_reason,setting,train_seed,checkpoint
41000000,no_adaptive_impedance,1,209,1.672,0.06283708309113259,0.06269522420683563,0.06276615364898411,0.06269522420683563,0.0007708781219131959,0.000725984626786069,0.0007484313743496324,0.0007708781219131959,0.8637299692698523,53.5206560595715,0.2560796940649354,8.920109343261917,0.0,6,0.043274077392989795,0.055577151477336884,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000001,no_adaptive_impedance,1,353,2.824,0.03731591839557555,0.03717532221764641,0.03724562030661098,0.03717532221764641,0.0009247459785864395,0.0009768272434873971,0.0009507866110369182,0.0009768272434873971,0.43396092335704745,0.0,0.0,0.0,0.0,5,0.03640079313873316,0.055343423038721085,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000002,no_adaptive_impedance,1,205,1.6400000000000001,0.061949970874149246,0.06181276518452944,0.06188136802933934,0.06181276518452944,0.0008445969184213626,0.0008356057345822581,0.0008401013265018104,0.0008445969184213626,0.8643690063306939,52.50180823080913,0.2561063816137031,7.500258318687019,0.0,7,0.04293690170275002,0.05521625280380249,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000003,no_adaptive_impedance,1,395,3.16,0.04087079435468535,0.04075293568383684,0.040811865019261095,0.04075293568383684,0.0009354838537287238,0.0008846707762229422,0.000910077314975833,0.0009354838537287238,0.2027632025290513,0.0,0.0,0.0,0.0,6,0.03522139247506857,0.05568957328796387,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000004,no_adaptive_impedance,1,359,2.872,0.03760283400958232,0.03746421751128025,0.037533525760431286,0.03746421751128025,0.0009418437226038296,0.0009897684176285247,0.0009658060701161771,0.0009897684176285247,0.4204891364798485,0.0,0.0,0.0,0.0,6,0.03614333759822096,0.05554554611444473,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000005,no_adaptive_impedance,1,250,2.0,0.06131268271923514,0.06095963065914925,0.06113615668919219,0.06095963065914925,0.0008659422029044632,0.0009605501143638848,0.000913246158634174,0.0009605501143638848,0.4820266118930991,0.0,0.0,0.0,0.0,5,0.04269660690240562,0.05539198964834213,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000006,no_adaptive_impedance,1,264,2.112,0.05447895087867839,0.05419704851325796,0.05433799969596818,0.05419704851325796,0.00041529871737837744,0.00046447844021518597,0.0004398885787967817,0.00046447844021518597,0.17813038601419337,9.432872770016651,0.0357305786743055,1.572145461669442,0.0,6,0.0415691336278211,0.0555448941886425,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000007,no_adaptive_impedance,1,364,2.912,0.03771213242188906,0.037591011683454134,0.0376515720526716,0.037591011683454134,0.0009336253634679896,0.0009743304586125745,0.000953977911040282,0.0009743304586125745,0.4235176566973684,0.0,0.0,0.0,0.0,5,0.03606979539720239,0.055625393986701965,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000008,no_adaptive_impedance,1,264,2.112,0.054611977727966804,0.05445649607877477,0.05453423690337079,0.05445649607877477,0.00021551313231242932,0.0003407589897796491,0.0002781360610460392,0.0003407589897796491,0.19997886864492567,0.0,0.0,0.0,0.0,5,0.04174296577129456,0.05532263219356537,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
41000009,no_adaptive_impedance,1,317,2.536,0.036875822523217416,0.036589890485821064,0.03673285650451924,0.036589890485821064,0.0008724089479228347,0.0007926622459186877,0.0008325355969207612,0.0008724089479228347,0.6494102465815262,0.0,0.0,0.0,0.0,6,0.038098717239106586,0.05494999513030052,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,nominal,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
