seed,variant,success,steps,completion_time_s,peg1_depth_m,peg2_depth_m,mean_depth_m,min_depth_m,peg1_lateral_error_m,peg2_lateral_error_m,mean_lateral_error_m,max_lateral_error_m,orientation_error_deg,peak_contact_force_N,mean_force_all_steps_N,mean_force_contact_steps_N,peak_contact_torque_Nm,contact_steps,mean_trajectory_residual_norm,peak_trajectory_residual_norm,mean_impedance_residual_norm,peak_impedance_residual_norm,mean_impedance_k_parallel,mean_impedance_k_lateral,mean_impedance_k_rotation,mean_impedance_d_parallel,mean_impedance_d_lateral,mean_impedance_d_rotation,jam,final_stage,failure_reason,setting,train_seed,checkpoint
43000000,no_adaptive_impedance,0,1600,12.8,0.0,0.0,0.0,0.0,0.006008984025836146,0.005413334815226074,0.00571115942053111,0.006008984025836146,0.49758756564011386,0.0,0.0,0.0,0.0,0,0.03202596220886335,0.055259380489587784,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,FIRST_CONTACT,contact_alignment,ood,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
43000001,no_adaptive_impedance,1,371,2.968,0.04335931933632073,0.04306374402070068,0.0432115316785107,0.04306374402070068,0.0003087721812038708,0.00032004351178731923,0.00031440784649559503,0.00032004351178731923,0.28843802550370606,0.0,0.0,0.0,0.0,7,0.03394129331351692,0.05531468614935875,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,ood,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
43000002,no_adaptive_impedance,0,1600,12.8,0.0,0.0,0.0,0.0,0.007397257465403605,0.007332724215387124,0.0073649908403953645,0.007397257465403605,0.6332808936914873,0.0,0.0,0.0,0.0,0,0.03262047878291924,0.05456305667757988,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,FIRST_CONTACT,contact_alignment,ood,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
43000003,no_adaptive_impedance,1,376,3.008,0.039180866457461286,0.03907077540235175,0.03912582092990652,0.03907077540235175,0.0008795534562167784,0.0005594613019131264,0.0007195073790649524,0.0008795534562167784,0.2946513281074587,50.24377132767282,0.13362705140338516,7.1776816182389735,0.0,7,0.0355087610561044,0.05532483011484146,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,ood,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
43000004,no_adaptive_impedance,1,251,2.008,0.056414561991835616,0.05642423529703283,0.056419398644434224,0.056414561991835616,0.0006377004924680579,0.0006212844736117188,0.0006294924830398884,0.0006377004924680579,0.009296213275813304,23.460978377765827,0.0934700333775531,3.910163062960971,0.0,6,0.04285547324267042,0.05537154898047447,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,ood,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
43000005,no_adaptive_impedance,1,289,2.312,0.039036714708828024,0.03880451921879613,0.03892061696381208,0.03880451921879613,0.00023071304647019115,0.00034799523803800953,0.00028935414225410034,0.00034799523803800953,0.5347334354251978,0.0,0.0,0.0,0.0,5,0.038278413021286053,0.052952758967876434,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,ood,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
43000006,no_adaptive_impedance,0,1600,12.8,0.0,0.0,0.0,0.0,0.012215460203855855,0.013327772695220362,0.012771616449538108,0.013327772695220362,1.139157567744049,0.0,0.0,0.0,0.0,0,0.03709266533784103,0.056107427924871445,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,FIRST_CONTACT,coarse_alignment,ood,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
43000007,no_adaptive_impedance,1,379,3.032,0.04449112711704825,0.04416825937177525,0.04432969324441175,0.04416825937177525,0.0004970523613646666,0.0006344546613206198,0.0005657535113426431,0.0006344546613206198,0.20981046345393475,0.0,0.0,0.0,0.0,6,0.03183101876429958,0.055321935564279556,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,ood,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
43000008,no_adaptive_impedance,1,285,2.2800000000000002,0.03918134123543282,0.03890351169583983,0.039042426465636326,0.03890351169583983,0.00031908473080471077,0.00038579035844488603,0.0003524375446247984,0.00038579035844488603,0.49210998090834185,0.0,0.0,0.0,0.0,5,0.03681557376199124,0.05200215429067612,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,ood,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
43000009,no_adaptive_impedance,1,242,1.936,0.06027106740403482,0.06011826569615733,0.060194666550096074,0.06011826569615733,0.0005314532621064253,0.0007643326236291684,0.0006478929428677968,0.0007643326236291684,0.678768386285948,20.223735411427697,0.08356915459267643,3.370622568571283,0.0,6,0.041474152958667104,0.054216157644987106,0.0,0.0,0.5,0.6499999761581421,0.6499999761581421,0.8500000238418579,0.8999999761581421,0.8999999761581421,0,SUCCESS,success,ood,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
