seed,variant,success,steps,completion_time_s,peg1_depth_m,peg2_depth_m,mean_depth_m,min_depth_m,peg1_lateral_error_m,peg2_lateral_error_m,mean_lateral_error_m,max_lateral_error_m,orientation_error_deg,peak_contact_force_N,mean_force_all_steps_N,mean_force_contact_steps_N,peak_contact_torque_Nm,contact_steps,mean_trajectory_residual_norm,peak_trajectory_residual_norm,mean_impedance_residual_norm,peak_impedance_residual_norm,mean_impedance_k_parallel,mean_impedance_k_lateral,mean_impedance_k_rotation,mean_impedance_d_parallel,mean_impedance_d_lateral,mean_impedance_d_rotation,jam,final_stage,failure_reason,setting,train_seed,checkpoint
43000000,a2po,0,1600,12.8,0.0,0.0,0.0,0.0,0.006073775384328586,0.0053469607350272895,0.005710368059677938,0.006073775384328586,0.6196105627025815,0.0,0.0,0.0,0.0,0,0.007375052662391681,0.00866091251373291,0.025300398360705002,0.02626558020710945,0.5012984159961342,0.6688265888392926,0.6597630553320051,0.8508614093810319,0.8909705225005746,0.8896883739158511,0,FIRST_CONTACT,contact_alignment,ood,20260911,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260911/checkpoint_best.pt
43000001,a2po,1,367,2.936,0.04401381847248571,0.04369535046468587,0.04385458446858579,0.04369535046468587,0.0003467541062219745,0.00023123848113990172,0.0002889962936809381,0.0003467541062219745,0.3391784938975673,0.0,0.0,0.0,0.0,6,0.0072242204221701425,0.009734464809298515,0.024382118414833696,0.027147585526108742,0.501290086504549,0.6681163090126391,0.6594015259184045,0.8508057133053564,0.8912521777750686,0.890058337505247,0,SUCCESS,success,ood,20260911,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260911/checkpoint_best.pt
43000002,a2po,0,1600,12.8,0.0,0.0,0.0,0.0,0.007524498413575097,0.007326237536213591,0.0074253679748943445,0.007524498413575097,0.7764502740811392,0.0,0.0,0.0,0.0,0,0.007556298983981833,0.00913916900753975,0.025494175768690185,0.0265964362770319,0.5013100970908999,0.6689661183580756,0.6598343388736247,0.8508729704841972,0.8909021135419607,0.8895981830358505,0,FIRST_CONTACT,contact_alignment,ood,20260911,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260911/checkpoint_best.pt
43000003,a2po,1,208,1.6640000000000001,0.0629374450821886,0.06288213995809747,0.06290979252014303,0.06288213995809747,0.0006388011967315215,0.0005998279929197791,0.0006193145948256503,0.0006388011967315215,0.5149470735940826,54.18414685918594,0.26050070605377856,10.836829371837187,0.0,5,0.006880393289835551,0.010017226450145245,0.0230154843436769,0.02778249979019165,0.5013325753120276,0.6670614025340631,0.6588903817419822,0.8506846350546067,0.8916569326359493,0.8906564030509728,0,SUCCESS,success,ood,20260911,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260911/checkpoint_best.pt
43000004,a2po,1,304,2.432,0.03606399017619555,0.035672483749340816,0.03586823696276818,0.035672483749340816,0.00010506351967212098,0.00035238459247000694,0.00022872405607106394,0.00035238459247000694,0.6393166591398999,0.0,0.0,0.0,0.0,4,0.007270898041928089,0.011023310013115406,0.024131059609843714,0.02824827842414379,0.5012955965572282,0.6679124243949589,0.6593073914317709,0.8507891693397572,0.8913232876281989,0.8901557336120229,0,SUCCESS,success,ood,20260911,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260911/checkpoint_best.pt
43000005,a2po,1,291,2.328,0.038476744891933506,0.03818161904149611,0.03832918196671481,0.03818161904149611,0.00031665868470297546,0.00040010108924638067,0.0003583798869746781,0.00040010108924638067,0.6068432935813703,0.0,0.0,0.0,0.0,5,0.0072851858607451735,0.010992445051670074,0.024530175215599873,0.02788209356367588,0.5013143737701207,0.6682059705462243,0.6594542848695185,0.8508185717658079,0.8911861572478645,0.8899754744624764,0,SUCCESS,success,ood,20260911,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260911/checkpoint_best.pt
43000006,a2po,0,1600,12.8,0.0,0.0,0.0,0.0,0.012363345995359886,0.013320672388086827,0.012842009191723357,0.013320672388086827,1.286436618660235,0.0,0.0,0.0,0.0,0,0.008054263764061034,0.00959885586053133,0.02598551943548955,0.02703660912811756,0.5013460340350866,0.6693195637315512,0.6600323024019599,0.850900437310338,0.8907301250845194,0.88938401915133,0,FIRST_CONTACT,coarse_alignment,ood,20260911,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260911/checkpoint_best.pt
43000007,a2po,1,376,3.008,0.04429990038850669,0.043962103916159595,0.04413100215233314,0.043962103916159595,0.0004219447081419605,0.0005864402220783354,0.000504192465110148,0.0005864402220783354,0.3084669885821686,0.0,0.0,0.0,0.0,6,0.007430502791898919,0.009906853549182415,0.02473928344911559,0.027450259774923325,0.5013185015067141,0.6683709201343516,0.6595343578052013,0.8508344018395911,0.8911276049119361,0.8898898131669836,0,SUCCESS,success,ood,20260911,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260911/checkpoint_best.pt
43000008,a2po,1,284,2.2720000000000002,0.039266147161068105,0.03897043346213819,0.039118290311603146,0.03897043346213819,0.0002947485988641712,0.0003613977788874856,0.0003280731888758284,0.0003613977788874856,0.5287541299612877,0.0,0.0,0.0,0.0,5,0.007388308986982095,0.010976363904774189,0.024711186040035436,0.027944978326559067,0.5013195005520968,0.6683402699483952,0.6595165160760074,0.8508337116997007,0.8911243204919386,0.8898901521739825,0,SUCCESS,success,ood,20260911,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260911/checkpoint_best.pt
43000009,a2po,1,301,2.408,0.03718787584647407,0.03694634807319959,0.03706711195983683,0.03694634807319959,0.0002448090927068419,0.0001448606168720865,0.0001948348547894642,0.0002448090927068419,0.6525664513559839,1.9288439789319367,0.006408119531335338,0.3214739964886561,0.0,6,0.007251697457844138,0.010926268063485622,0.024562722709388828,0.028101781383156776,0.5013134683485443,0.6682334035337961,0.6594637464051231,0.8508310866514314,0.8911807255887509,0.8899596588952201,0,SUCCESS,success,ood,20260911,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260911/checkpoint_best.pt
