episode,reward_agent1,reward_agent2,reward_total,success,peak_force_N,peak_torque_Nm,jamming,steps,action1_min,action1_max,action2_min,action2_max,kp_min,kp_max,kd_min,kd_max,curriculum,mean_depth_m,min_depth_m,mean_lateral_error_m,max_lateral_error_m,orientation_error_deg,mean_force_all_steps_N,failure_reason
0,-225.2221924884616,-2.3299853940652504,-227.55217788252685,False,0.0,0.0,False,1600,-1.0,0.3192315399646759,0.47693124413490295,0.9213878512382507,1.0,215.58908343315125,1.0,45.40845423936844,easy,0.0,0.0,0.006638970537960202,0.0067092349723856725,0.6988153456508658,0.0,contact_alignment
1,-243.4600511857502,-2.3503048028139,-245.81035598856408,False,0.0,0.0,False,1600,-1.0,0.5568971037864685,0.4768364727497101,0.9205195307731628,1.0,214.90100741386414,1.0,45.369895696640015,easy,0.0,0.0,0.00723948204427622,0.007402129243034746,0.7544849125562786,0.0,contact_alignment
2,-267.5730936945435,-2.351101864377327,-269.9241955589208,False,0.0,0.0,False,1600,-1.0,0.49740713834762573,0.4774330258369446,0.9246563911437988,1.0,215.13572812080383,1.0,45.46287387609482,easy,0.0,0.0,0.007861060243035773,0.007953635295540851,0.8143390429838269,0.0,contact_alignment
3,-216.1805210319995,-2.3429581820525547,-218.52347921405203,False,0.0,0.0,False,1600,-1.0,0.5083562135696411,0.47663140296936035,0.9235515594482422,1.0,215.3005874156952,1.0,45.45422047376633,easy,0.0,0.0,0.006512062297278276,0.006623993844309173,0.6934392988914017,0.0,contact_alignment
4,3571.6435860055544,494.9089992394513,4066.5525852450055,True,46.213913400137166,0.0,False,218,-1.0,1.0,0.48412153124809265,0.918098509311676,1.0,234.22872066497803,1.0,45.38448214530945,easy,0.05960817033356769,0.05936358201619932,0.0005401008994144836,0.0006951690683926504,0.23054999036782617,0.21199042844099616,success
5,2539.210961098177,499.21348996751806,3038.424451065695,True,0.0,0.0,False,188,-1.0,0.20383629202842712,0.48276132345199585,0.9165993332862854,1.0,234.23130869865417,1.0,45.28832256793976,easy,0.07492756749648131,0.07488634331397992,0.0007949138549940752,0.0008739774558158524,1.1030682506710017,0.0,success
6,3259.338796169778,499.18970509594396,3758.5285012657223,True,0.0,0.0,False,208,-1.0,0.9872825145721436,0.47906631231307983,0.9185702800750732,1.0,234.01447176933289,1.0,45.461221635341644,easy,0.06410409969671185,0.06409404190632464,0.0008973159191701523,0.000968287813823266,0.3669378169504714,0.0,success
7,2958.3798083607257,499.20918850882634,3457.588996869552,True,0.0,0.0,False,199,-1.0,0.53134685754776,0.48329606652259827,0.9207383990287781,1.0,233.66294860839844,1.0,45.26648670434952,easy,0.07103959642085209,0.07103722634105002,0.0005669427898038256,0.000693200569726335,0.7354886062563006,0.0,success
8,-247.1948879537032,-2.347565278438294,-249.54245323214147,False,0.0,0.0,False,1600,-1.0,0.5590231418609619,0.47921282052993774,0.9237679839134216,1.0,214.58041667938232,1.0,45.46378344297409,easy,0.0,0.0,0.007297039191230124,0.007449653090296972,0.7724382087166345,0.0,contact_alignment
9,3865.494653091947,498.3340685071614,4363.828721599109,True,0.0,0.0,False,983,-1.0,1.0,0.4751919209957123,0.9226066470146179,1.0,235.39685368537903,1.0,45.38172632455826,easy,0.04357401021383686,0.04350669358099343,0.00025307385306326806,0.00029133271449575883,0.4192750799598745,0.0,success
10,3478.7701635066737,499.1853574580514,3977.955520964725,True,0.0,0.0,False,215,-1.0,0.9991880059242249,0.4831131100654602,0.9179229140281677,1.0,234.59141731262207,1.0,45.254939794540405,easy,0.059005937443716766,0.05896524639606687,0.0007809764707580141,0.000946476406132567,0.18354599160124432,0.0,success
11,-196.42353182184064,-2.3580931113713217,-198.78162493321196,False,0.0,0.0,False,1600,-1.0,0.23232555389404297,0.4768122136592865,0.9223411679267883,1.0,214.01408672332764,1.0,45.595205426216125,easy,0.0,0.0,0.005866542959340218,0.005890582016202964,0.6360817748550982,0.0,contact_alignment
12,-254.17811715656097,-2.3650958943064095,-256.5432130508674,False,0.0,0.0,False,1600,-1.0,0.39516639709472656,0.477046936750412,0.9225295186042786,1.0,214.73078608512878,1.0,45.43564736843109,easy,0.0,0.0,0.007555824926452776,0.007583779998234655,0.8003750639137438,0.0,contact_alignment
13,2986.0975894372937,499.2142249081304,3485.311814345424,True,0.0,0.0,False,200,-1.0,0.9977704882621765,0.4806993305683136,0.9212272763252258,1.0,235.97764253616333,1.0,45.19955217838287,easy,0.06888758570903195,0.06885367811875959,0.0005989609020371552,0.0006427702402062349,0.7090385675363171,0.0,success
14,-238.35568389137921,-2.3519530678626372,-240.70763695924185,False,0.0,0.0,False,1600,-1.0,0.5192727446556091,0.4795879125595093,0.9216797351837158,1.0,215.16793131828308,1.0,45.36926567554474,easy,0.0,0.0,0.007082910419077988,0.007132647311485141,0.7424502657573627,0.0,contact_alignment
15,3250.4485272671227,499.19900852124067,3749.6475357883633,True,0.0,0.0,False,208,-1.0,1.0,0.48037418723106384,0.918890655040741,1.0,234.38112020492554,1.0,45.4589706659317,easy,0.06320288709877217,0.06318278031116212,0.000847089544830404,0.0008934356546778046,0.3689769795262674,0.0,success
