episode,reward_agent1,reward_agent2,reward_total,success,peak_force_N,peak_torque_Nm,jamming,steps,action1_min,action1_max,action2_min,action2_max,kp_min,kp_max,kd_min,kd_max
0,909.5730797984518,249.96191523887015,1159.534995037322,True,0.0,0.0,False,50,-1.0,0.1264955997467041,0.14321336150169373,0.964296281337738,17.017405731976034,486.9752296805382,0.9484727501869201,5.333338558673859
1,911.2395437341469,249.96104907619912,1161.200592810346,True,0.0,0.0,False,50,-1.0,0.13441818952560425,0.14468605816364288,0.9567327499389648,16.88206872493029,487.9652997851372,0.9521322548389435,5.315455973148346
2,908.7900387541941,249.9623770237761,1158.7524157779703,True,0.0,0.0,False,50,-1.0,0.18516352772712708,0.13861487805843353,0.9584544897079468,17.09190687388182,486.58279699087143,0.9491711974143981,5.296294778585433
3,910.7218644362747,249.96123074045198,1160.6830951767267,True,0.0,0.0,False,50,-1.0,0.05567137524485588,0.13344603776931763,0.9609521627426147,16.704034620523455,487.60046142339706,0.9532226920127869,5.341397196054459
4,911.8347627790793,249.96826093448695,1161.8030237135663,True,0.0,0.0,False,50,-1.0,0.09186413884162903,0.1454962193965912,0.9651361703872681,16.942661212384703,486.933770775795,0.9497640013694763,5.329402178525924
5,910.1720377339816,249.97433425214874,1160.1463719861304,True,0.0,0.0,False,50,-1.0,0.04000624269247055,0.14286267757415771,0.9553791284561157,16.657319414615632,489.52557027339935,0.9503719091415405,5.325329780578613
6,911.394243440714,249.96967689720844,1161.3639203379225,True,0.0,0.0,False,50,-1.0,0.18280662596225739,0.15242122113704681,0.956257700920105,16.962236954271795,487.6367295384407,0.9521915435791015,5.291207671165465
7,907.866490031327,249.9643413803104,1157.8308314116373,True,0.0,0.0,False,50,-1.0,0.1705171763896942,0.1448010951280594,0.959684431552887,17.10565391033888,488.28551083803177,0.9483002662658692,5.308665096759796
8,910.4656493700486,249.96284610680027,1160.4284954768489,True,0.0,0.0,False,50,-1.0,0.08003053069114685,0.14335516095161438,0.9560405611991882,17.169937467575075,487.9398177266121,0.9524804353713989,5.334279417991638
9,912.5577078486226,249.96928481269634,1162.526992661319,True,0.0,0.0,False,50,-1.0,0.13699975609779358,0.149773970246315,0.9585543274879456,17.1235255330801,487.40898644924164,0.9484292328357696,5.34467539191246
