episode,reward_agent1,reward_agent2,reward_total,success,peak_force_N,peak_torque_Nm,jamming,steps,action1_min,action1_max,action2_min,action2_max,kp_min,kp_max,kd_min,kd_max,curriculum,mean_depth_m,min_depth_m,mean_lateral_error_m,max_lateral_error_m,orientation_error_deg,mean_force_all_steps_N,failure_reason
0,-562.0491745931598,-14968.176251404759,-15530.22542599792,False,251.4079845797169,0.0,True,1600,-1.0,1.0,0.4784597158432007,0.9208502769470215,1.0,280.38349509239197,1.0,40.050806641578674,easy,0.0,0.0,0.007777052972997789,0.008820128300431952,1.0757217921003492,7.170384874246722,jam
1,-555.4440430606946,-14432.107420654414,-14987.55146371511,False,143.64755906252853,0.0,True,1600,-1.0,1.0,0.47832977771759033,0.9212797284126282,1.0,279.65675592422485,1.0,40.09991252422333,easy,0.0,0.0,0.007017139215555366,0.008179062183365629,1.128593294005233,7.065694647799683,jam
2,28909.003646343015,-5129.986065355738,23779.017580987278,True,322.84407442978835,0.0,True,1445,-1.0,1.0,0.47899797558784485,0.9195000529289246,0.0,279.98963952064514,0.0,40.015331745147705,easy,0.04298946113415854,0.04298913701183796,0.0008500241882530641,0.0008501221330148726,0.0008111617999345241,2.7162100392211124,success
3,-597.5789402143998,-15475.924015965746,-16073.502956180146,False,381.7562514474851,0.0,True,1600,-1.0,1.0,0.4805391728878021,0.9210608005523682,1.0,279.414541721344,1.0,40.195295453071594,easy,0.0,0.0,0.01127584395413337,0.011685158705665012,1.2678208890244063,6.913086867318673,jam
4,-630.9588480530332,-14631.703591557209,-15262.662439610243,False,264.6288964834141,0.0,True,1600,-1.0,1.0,0.4818941354751587,0.9226914644241333,1.0,280.1474928855896,1.0,40.2191116809845,easy,0.0,0.0,0.012177139695526348,0.012645505258235889,1.075596831873946,6.570108577379999,jam
5,12710.40727657031,-8174.28930622722,4536.117970343086,True,106.54482888148614,0.0,True,1395,-1.0,1.0,0.47592225670814514,0.9221218228340149,0.0,280.0089728832245,0.0,40.096506118774414,easy,0.04298861411864072,0.04298830313059207,0.0008933978248357247,0.0008934773982361553,0.0008027620045601431,4.841016603121685,success
6,1976.621451985447,-10500.770112154596,-8524.14866016915,True,168.6837388331996,0.0,True,1308,-1.0,1.0,0.47483590245246887,0.9224956035614014,0.0,280.78890562057495,0.0,40.3250195980072,easy,0.04298038263769395,0.042979634997379695,0.001171847034086145,0.0011719367214583695,0.0010675298346600644,6.3551044052553936,success
7,-681.4944704607537,-17063.11256307457,-17744.607033535325,False,516.8109925064824,0.0,True,1600,-1.0,1.0,0.4804961085319519,0.9250561594963074,1.0,279.88467931747437,1.0,40.116631627082825,easy,0.0,0.0,0.01191143620421972,0.012706438490303706,1.476384843862981,7.426736627903787,jam
8,7707.429846364861,-13381.4371914821,-5674.007345117239,True,461.12875697583667,0.0,True,1565,-1.0,1.0,0.4803164601325989,0.9216861724853516,0.0,279.47027802467346,0.0,40.10161304473877,easy,0.042994662354188015,0.04299437502294812,0.0005538456119417652,0.0005539541365180832,0.0008318686905465571,5.917681983107458,success
9,-554.0626712242132,-14200.509398619546,-14754.572069843758,False,141.8702087765927,0.0,True,1600,-1.0,1.0,0.4804382920265198,0.9247735738754272,1.0,280.1280200481415,1.0,40.1272531747818,easy,0.0,0.0,0.009578467908020943,0.010351696306863379,0.8430237840171918,6.4649570890390855,jam
10,-513.2944163692573,-14389.004996995438,-14902.299413364695,False,57.65246911476515,0.0,True,1600,-1.0,1.0,0.4792225956916809,0.9229869842529297,1.0,280.04523634910583,1.0,40.05874955654144,easy,0.0,0.0,0.006895746091431971,0.0072936272551266485,1.4671713317637072,7.131514048538616,jam
11,-687.2683723963468,-14167.52052062962,-14854.788893025965,False,127.75340895506599,0.0,True,1600,-1.0,1.0,0.4812880754470825,0.9221513271331787,1.0,279.4479727745056,1.0,40.13049864768982,easy,0.0,0.0,0.013625371516533511,0.014345207179559517,1.1743590635151313,6.70107390315796,jam
12,29192.717186226237,-4405.684973012248,24787.03221321399,True,209.5286524584659,0.0,True,1448,-1.0,1.0,0.47722816467285156,0.9258660674095154,0.0,280.20859360694885,0.0,40.075164675712585,easy,0.042989285201795915,0.04298892563218623,0.0008587741044940373,0.0008588668252349727,0.0008214992987854434,2.636855339169914,success
13,13663.975363511257,-9510.09136743889,4153.883996072369,True,286.20412133884525,0.0,True,1480,-1.0,1.0,0.47772371768951416,0.9220969676971436,0.0,280.5045700073242,0.0,40.13633871078491,easy,0.04299095423263156,0.042990666320513654,0.000778632388415787,0.0007787441839077662,0.0008050438111259512,4.984509479221757,success
14,-605.2026381110235,-17027.026654126526,-17632.22929223755,False,517.0293496940269,0.0,True,1600,-1.0,1.0,0.4774791896343231,0.9218605160713196,1.0,279.79307651519775,1.0,40.18787109851837,easy,0.0,0.0,0.009204472714287705,0.01002965394661035,1.446453497843085,7.390660044827666,jam
15,7361.757680855386,-2966.011592053908,4395.746088801478,True,99.35637982917942,0.0,True,688,-1.0,1.0,0.48145025968551636,0.9199038147926331,0.0,280.57209730148315,0.0,40.10233187675476,easy,0.0429946601611473,0.04299439108154661,0.0005290913654878939,0.0005291688805889462,0.0008172790315352445,4.340091227216644,success
16,5117.00972379293,-347.1347082411449,4769.8750155517855,True,119.77932863780823,0.0,False,321,-1.0,1.0,0.48152053356170654,0.9235308170318604,0.0,280.5809164047241,0.0,39.96154808998108,easy,0.04299058981526188,0.04299019977804261,0.0007851163162670345,0.0007852272913688545,0.0008036282487970293,2.5522352522105027,success
17,-1618.1773553254616,-13743.67715936399,-15361.85451468945,False,131.7928855694751,0.0,True,1600,-1.0,1.0,0.4795560836791992,0.9234609007835388,1.0,280.616557598114,1.0,40.11317336559296,easy,0.0,0.0,0.025608242979047076,0.02579658493585755,9.491557054364462,7.639895562269687,jam
18,-544.5174552773319,-19153.79894331984,-19698.31639859717,False,689.5373274681959,0.0,True,1600,-1.0,1.0,0.4772229492664337,0.9206979274749756,1.0,281.14134788513184,1.0,40.04272961616516,easy,0.0,0.0,0.009126585602812702,0.009712550011686527,1.0437697126477998,7.068166552769389,jam
19,-1607.0084073378844,-13716.66209852097,-15323.670505858856,False,153.88459332723542,0.0,True,1600,-1.0,1.0,0.4776994585990906,0.92451411485672,1.0,280.390704870224,1.0,40.022595167160034,easy,0.0,0.0,0.02492635365012954,0.02519287110918239,9.535601676251996,7.567812306480476,jam
20,5228.568829790682,-605.9166468916997,4622.652182898983,True,167.3700783612654,0.0,False,328,-1.0,1.0,0.47631001472473145,0.9223480820655823,0.0,279.9669587612152,0.0,39.95502853393555,easy,0.042992077647725,0.042991826036032466,0.0007053623410242938,0.0007054852884517155,0.000761085932704389,3.040813701009801,success
21,-639.1815312219511,-15268.909605343684,-15908.091136565637,False,351.52345691679807,0.0,True,1600,-1.0,1.0,0.47760772705078125,0.9269359111785889,1.0,280.8222186565399,1.0,40.04229152202606,easy,0.0,0.0,0.012073791305217376,0.012387098639453503,1.433048497659869,7.044557237807582,jam
22,-575.790188793191,-14831.465754532648,-15407.25594332584,False,225.1197901202744,0.0,True,1600,-1.0,1.0,0.477890282869339,0.922773540019989,1.0,280.24590849876404,1.0,39.97723722457886,easy,0.0,0.0,0.00706170711213046,0.008656003470762513,1.4124945632972274,7.349148353009095,jam
23,4936.31972745149,-366.8708378786955,4569.448889572794,True,127.35865859663613,0.0,False,318,-1.0,1.0,0.47971686720848083,0.9198545813560486,0.0,279.87606406211853,0.0,39.9354305267334,easy,0.04299010222122591,0.04298970297500353,0.0008051738341161028,0.0008053138365542892,0.0008111546109108867,2.537543933676503,success
24,4354.71006480728,-97.84641327607595,4256.8636515312055,True,82.33708462133977,0.0,False,302,-1.0,1.0,0.47876816987991333,0.9165351986885071,0.0,279.36182022094727,0.0,39.95937728881836,easy,0.0429899354732527,0.04298948121476355,0.0007916921718922296,0.0007918195517683797,0.0008564958326661672,1.6473136885106265,success
25,-596.9912426798151,-14167.32414781463,-14764.315390494447,False,118.60126082069928,0.0,True,1600,-1.0,1.0,0.4781646728515625,0.9218664169311523,1.0,280.63252210617065,1.0,40.196184158325195,easy,0.0,0.0,0.011306470897390966,0.011616638085985271,1.2587043999016991,6.879716501061885,jam
26,26686.34241883508,-4713.8590938059,21972.48332502918,True,105.91605244468552,0.0,True,1443,-1.0,1.0,0.4780067801475525,0.922443687915802,0.0,279.71705198287964,0.0,39.972312688827515,easy,0.04298926595930508,0.04298893117895222,0.0008621280632309122,0.0008622238130559277,0.0008165147636497947,2.8235032869968384,success
27,-1626.9459693486751,-13630.520613753833,-15257.466583102509,False,55.793351504518434,0.0,True,1600,-1.0,1.0,0.4761013090610504,0.9214857816696167,1.0,280.3768002986908,1.0,40.12435281276703,easy,0.0,0.0,0.024631068692997707,0.024849962887012772,9.761619300598019,7.582990572761575,jam
28,-672.0052005567433,-14729.485190580599,-15401.490391137342,False,262.467425748322,0.0,True,1600,-1.0,1.0,0.47693535685539246,0.9260801076889038,1.0,280.14678478240967,1.0,40.10399127006531,easy,0.0,0.0,0.012166992963571616,0.012863276547958083,1.5020363766593265,7.153022846275337,jam
29,25073.561118911486,-6792.737305888933,18280.82381302255,True,434.04811173054543,0.0,True,1421,-1.0,1.0,0.47644877433776855,0.9229328632354736,0.0,281.37781143188477,0.0,40.166048645973206,easy,0.04298865489557527,0.042988324561518215,0.0008896107538253861,0.0008897004436407991,0.0008140439584250992,3.282785155639391,success
30,25530.630252502957,-5861.24665666068,19669.38359584228,True,311.0312254425275,0.0,True,1444,-1.0,1.0,0.47986453771591187,0.9204717874526978,0.0,280.1229131221771,0.0,40.10901415348053,easy,0.042989087164043385,0.042988745669741965,0.0008702729952985242,0.0008703692146246153,0.0008201810205073084,3.269242625065343,success
31,4227.037032866674,-120.24237584509157,4106.794657021584,True,117.72253614619717,0.0,False,301,-1.0,1.0,0.4805980324745178,0.9173626899719238,0.0,281.1812376976013,0.0,39.94055712223053,easy,0.0429896152403313,0.04298914429828039,0.0008090733123609474,0.00080920009146159,0.0008644065001944495,1.7188756667968743,success
32,21247.357225938573,-8251.897264518446,12995.459961420127,True,432.5984086934489,0.0,True,1463,-1.0,1.0,0.48084941506385803,0.9214549660682678,0.0,280.46135425567627,0.0,40.06540501117706,easy,0.04298982384984472,0.04298947739097017,0.0008329728533174669,0.0008330739827671753,0.000819611138808848,4.015685424286262,success
33,-674.2319983117641,-14331.858151510878,-15006.090149822641,False,146.9609589178879,0.0,True,1600,-1.0,1.0,0.48102593421936035,0.9208030104637146,1.0,280.5299115180969,1.0,39.9334921836853,easy,0.0,0.0,0.012543182775965802,0.013292682696221008,1.4873120736053176,7.091550482270468,jam
34,-1618.6220596641049,-13753.87403710803,-15372.496096772136,False,133.80782819652296,0.0,True,1600,-1.0,1.0,0.4764367640018463,0.9226930737495422,1.0,279.980788230896,1.0,40.091774702072144,easy,0.0,0.0,0.02556166492214219,0.025783691930242714,9.510761727059744,7.6865119805397475,jam
35,-582.6270780225327,-16594.81138899329,-17177.438467015825,False,477.680922947264,0.0,True,1600,-1.0,1.0,0.4768339991569519,0.9245947003364563,1.0,280.4834234714508,1.0,40.016646027565,easy,0.0,0.0,0.007294595397497742,0.00830797757441664,1.1928936484008281,7.289528989850905,jam
36,-688.6165291662987,-14142.216232328916,-14830.832761495218,False,61.62691275036199,0.0,True,1600,-1.0,1.0,0.4797552227973938,0.9190037846565247,1.0,279.26284670829773,1.0,40.106390953063965,easy,0.0,0.0,0.013563591981500343,0.014117487119277922,1.3925518805994261,6.881803144901851,jam
37,-1667.2100373521293,-13741.82997735588,-15409.040014708009,False,126.7553856956529,0.0,True,1600,-1.0,1.0,0.4814583361148834,0.9223905205726624,1.0,280.9015154838562,1.0,40.16620600223541,easy,0.0,0.0,0.026816921740277087,0.02708443991940253,9.625186755475964,7.638779298911236,jam
38,-1644.0866791684393,-13627.866622934003,-15271.953302102444,False,57.911211689109386,0.0,True,1600,-1.0,1.0,0.48312249779701233,0.9198762774467468,1.0,280.5070912837982,1.0,40.131280064582825,easy,0.0,0.0,0.025711182744715073,0.025918771980155422,9.685187463888685,7.600133973691814,jam
39,5183.749377896903,-10077.463232235785,-4893.713854338881,True,282.69371205890246,0.0,True,1286,-1.0,1.0,0.48116612434387207,0.9191151261329651,0.0,280.23685336112976,0.0,40.036805510520935,easy,0.042990405299582604,0.04299011908221742,0.0007782149595534306,0.0007782351700611623,0.0007326323144371706,5.932439780511125,success
40,-1688.9952668189317,-13654.828615674052,-15343.823882492983,False,59.64489121005772,0.0,True,1600,-1.0,1.0,0.4829676151275635,0.920247495174408,1.0,280.18282294273376,1.0,40.01654410362244,easy,0.0,0.0,0.027267413681628914,0.027459254976769355,9.72021410467244,7.556274827676474,jam
41,-618.8524323324525,-16951.116543688076,-17569.96897602053,False,527.2987714297701,0.0,True,1600,-1.0,1.0,0.4797563850879669,0.9180744886398315,1.0,279.79050159454346,1.0,40.157671213150024,easy,0.0,0.0,0.010870033274595466,0.011558139060834303,1.2397005248789459,7.036848697568198,jam
42,-1637.970165102547,-13630.725453348787,-15268.695618451333,False,72.74304834003144,0.0,True,1600,-1.0,1.0,0.4835669696331024,0.9192206263542175,1.0,281.32046580314636,1.0,39.98499774932861,easy,0.0,0.0,0.025459837220727047,0.025677375894120367,9.70763046335488,7.602710360646909,jam
43,22611.693768366622,-7743.347828260852,14868.345940105768,True,439.0240837104958,0.0,True,1444,-1.0,1.0,0.48044881224632263,0.9187103509902954,0.0,279.3101501464844,0.0,40.09632909297943,easy,0.04298975487089181,0.042989446939054626,0.0008377084308094237,0.0008378051035554671,0.0008044002294251881,3.6406774962051838,success
44,4527.442815337817,-137.0126317005675,4390.430183637249,True,114.57592994958523,0.0,False,304,-1.0,1.0,0.48048481345176697,0.9173601865768433,0.0,281.0553026199341,0.0,39.97002565860748,easy,0.04299014097660141,0.04298970097825058,0.0007829839768030849,0.0007831004774169239,0.000842567319687854,1.585865451088311,success
45,26085.834551714943,-4756.735888552854,21329.09866316209,True,104.93546169850754,0.0,True,1431,-1.0,1.0,0.4771362841129303,0.9232933521270752,0.0,279.76141571998596,0.0,39.956634283065796,easy,0.0429890632668695,0.04298872532006219,0.0008710480324380747,0.0008711364221252783,0.0008127943048784676,3.105997987434225,success
46,-500.4820354148554,-14213.847476739054,-14714.32951215391,False,43.001225146910265,0.0,True,1600,-1.0,1.0,0.47943079471588135,0.9201986789703369,1.0,280.04014015197754,1.0,40.01163029670715,easy,0.0,0.0,0.006746404760990336,0.0068515533714772646,1.5308650585187082,7.00792204498828,jam
47,-698.01172688455,-14308.237848303881,-15006.24957518843,False,149.21112838887757,0.0,True,1600,-1.0,1.0,0.4798737168312073,0.9193881750106812,1.0,279.7846758365631,1.0,40.08021438121796,easy,0.0,0.0,0.013273248135405948,0.013946422511501449,1.4222747715270687,7.083790003894808,jam
48,7032.4716431467095,-5961.216508588022,1071.255134558688,True,528.1552562668151,0.0,True,692,-1.0,1.0,0.48422354459762573,0.9178826808929443,0.0,279.91939783096313,0.0,39.959413051605225,easy,0.04299469118284749,0.04299451841173635,0.0005254895365319559,0.0005255845398711381,0.000775091999193072,4.848883823022659,success
49,5624.180650023559,-11904.294292803916,-6280.113642780356,True,226.28690229259863,0.0,True,1528,-1.0,1.0,0.4810052812099457,0.9225841760635376,0.0,279.5284390449524,0.0,40.0023695230484,easy,0.04299271324739162,0.0429923807993602,0.0006837121108820668,0.0006837944881203979,0.0007871496692352774,6.088499020153309,success
50,-634.3312763363127,-15219.05118472982,-15853.382461066132,False,313.4883709759766,0.0,True,1600,-1.0,1.0,0.4731406271457672,0.9183085560798645,1.0,280.46531319618225,1.0,40.00108563899994,easy,0.0,0.0,0.010775149545042363,0.011268797580478265,1.4869358755416142,7.288612826922833,jam
51,13218.764730367198,-9202.625261444295,4016.139468922902,True,108.7815601927738,0.0,True,1512,-1.0,1.0,0.47510460019111633,0.923733115196228,0.0,280.0786888599396,0.0,39.985679030418396,easy,0.04299187354126208,0.042991533216292344,0.0007266969443507906,0.0007268032599114763,0.0008234574895501139,4.974300662239375,success
52,-507.11894733997775,-14887.147152812915,-15394.266100152894,False,256.2063013764603,0.0,True,1600,-1.0,1.0,0.4802788496017456,0.9201164841651917,1.0,280.11574625968933,1.0,39.99669396877289,easy,0.0,0.0,0.006978615289143954,0.007306778799746424,1.2819115632436549,7.1948041059696894,jam
53,4525.451094859067,-405.37924405968954,4120.071850799377,True,162.65997589785445,0.0,False,303,-1.0,1.0,0.47940921783447266,0.9161950945854187,0.0,280.17725467681885,0.0,39.880064368247986,easy,0.04299033885871195,0.04298990959480185,0.0007760479929168379,0.0007761552120949582,0.0008372586012986168,2.060781055250136,success
54,4252.843820691302,-516.1984089169509,3736.645411774352,True,163.9229977807446,0.0,False,300,-1.0,1.0,0.4786638617515564,0.9203735589981079,0.0,280.263375043869,0.0,39.91183423995972,easy,0.04298869032384235,0.04298816922035564,0.0008536220164744473,0.0008537434077386765,0.0008805151024701867,2.975824132335957,success
55,-605.5919279275162,-14303.89919065265,-14909.491118580163,False,147.21305164453062,0.0,True,1600,-1.0,1.0,0.4807557463645935,0.9190844893455505,1.0,282.0767629146576,1.0,39.998122692108154,easy,0.0,0.0,0.01034980673187707,0.010642262984857116,1.464800488145926,7.119708602833895,jam
56,-656.6338509615814,-16867.189550428782,-17523.823401390364,False,510.46068473743543,0.0,True,1600,-1.0,1.0,0.4785158038139343,0.922284722328186,1.0,280.0597310066223,1.0,39.98234236240387,easy,0.0,0.0,0.011599206823941197,0.012342722290574067,1.410322397275817,7.297774440546729,jam
