episode,reward_agent1,reward_agent2,reward_total,success,peak_force_N,peak_torque_Nm,jamming,steps,action1_min,action1_max,action2_min,action2_max,kp_min,kp_max,kd_min,kd_max
0,-562.0491745931598,-14968.176251404759,-15530.22542599792,False,251.4079845797169,0.0,True,1600,-1.0,1.0,0.4784597158432007,0.9208502769470215,1.0,280.38349509239197,1.0,40.050806641578674
1,-555.4440430606946,-14432.107420654414,-14987.55146371511,False,143.64755906252853,0.0,True,1600,-1.0,1.0,0.47832977771759033,0.9212797284126282,1.0,279.65675592422485,1.0,40.09991252422333
2,28909.003646343015,-5129.986065355738,23779.017580987278,True,322.84407442978835,0.0,True,1445,-1.0,1.0,0.47899797558784485,0.9195000529289246,0.0,279.98963952064514,0.0,40.015331745147705
3,-597.5789402143998,-15475.924015965746,-16073.502956180146,False,381.7562514474851,0.0,True,1600,-1.0,1.0,0.4805391728878021,0.9210608005523682,1.0,279.414541721344,1.0,40.195295453071594
4,-630.9588480530332,-14631.703591557209,-15262.662439610243,False,264.6288964834141,0.0,True,1600,-1.0,1.0,0.4818941354751587,0.9226914644241333,1.0,280.1474928855896,1.0,40.2191116809845
5,12710.40727657031,-8174.28930622722,4536.117970343086,True,106.54482888148614,0.0,True,1395,-1.0,1.0,0.47592225670814514,0.9221218228340149,0.0,280.0089728832245,0.0,40.096506118774414
6,1976.621451985447,-10500.770112154596,-8524.14866016915,True,168.6837388331996,0.0,True,1308,-1.0,1.0,0.47483590245246887,0.9224956035614014,0.0,280.78890562057495,0.0,40.3250195980072
7,-610.3227623531611,-16914.780467539087,-17525.103229892247,False,512.8245015556951,0.0,True,1600,-1.0,1.0,0.48049139976501465,0.9250578284263611,1.0,279.88476514816284,1.0,40.11680865287781
8,18605.01032581051,-10998.635949150519,7606.374376659993,True,568.9178751445512,0.0,True,1524,-1.0,1.0,0.48033303022384644,0.9218231439590454,0.0,279.47117924690247,0.0,40.09925448894501
9,-985.2944616641328,-15222.589980855297,-16207.884442519427,False,241.5348715614633,0.0,True,1600,-1.0,1.0,0.48051509261131287,0.9245604276657104,1.0,280.3063440322876,1.0,40.13225996494293
10,22586.110196493864,-6196.605397238282,16389.504799255585,True,80.26381158338056,0.0,True,1480,-1.0,1.0,0.4796084761619568,0.9228062033653259,0.0,279.94439601898193,0.0,40.06739342212677
11,-1012.266378594225,-17480.07789252582,-18492.34427112004,False,519.490013666216,0.0,True,1600,-1.0,1.0,0.48193734884262085,0.9226519465446472,1.0,280.3372001647949,1.0,40.16782784461975
12,33062.480054984975,-3172.9606420989658,29889.519412886013,True,218.51062187478817,0.0,True,1436,-1.0,1.0,0.4778149724006653,0.9259672164916992,0.0,279.4205713272095,0.0,40.11756145954132
13,14714.81805849742,-10302.71519216687,4412.1028663305515,True,396.78128746451915,0.0,True,1519,-1.0,1.0,0.48200830817222595,0.9231111407279968,0.0,280.25646567344666,0.0,40.17621958255768
14,5775.651105657356,-12287.265971612087,-6511.614865954731,False,112.12038178002454,0.0,True,1600,-1.0,1.0,0.4781843423843384,0.9224020838737488,1.0,279.936842918396,1.0,40.23933732509613
15,11405.383913859208,-9857.11978579199,1548.264128067216,True,393.19871176275063,0.0,True,1357,-1.0,1.0,0.48108136653900146,0.9240314364433289,0.0,280.97225069999695,0.0,40.142096519470215
16,-56.547540171602634,-470.5201360425186,-527.0676762141212,False,129.9228720450423,0.0,False,159,-1.0,1.0,0.48379096388816833,0.9202103614807129,1.0,280.3984832763672,1.0,39.98690569400787
17,-1504.4382262722847,-14122.112862454102,-15626.551088726384,False,180.02959015046255,0.0,True,1600,-1.0,1.0,0.47834959626197815,0.9241693615913391,1.0,280.57276248931885,1.0,40.16078972816467
18,-526.8143668378063,-14690.87071985656,-15217.685086694368,False,263.8784055292742,0.0,True,1600,-1.0,1.0,0.4805733561515808,0.9210271239280701,1.0,280.8744788169861,1.0,40.09861969947815
19,-1619.21192246259,-13829.009652280316,-15448.221574742905,False,160.57414372152184,0.0,True,1600,-1.0,1.0,0.47798702120780945,0.9253738522529602,1.0,281.08721017837524,1.0,40.08373522758484
