episode,reward_agent1,reward_agent2,reward_total,success,peak_force_N,peak_torque_Nm,jamming,steps,action1_min,action1_max,action2_min,action2_max,kp_min,kp_max,kd_min,kd_max
20260921,3051.9082763091615,495.5911012728612,3547.4993775820226,True,0.0,0.0,False,212,-1.0,1.0,0.5,0.8999999761581421,1.0,228.99999380111694,1.0,44.75000083446503
20260922,-321.9006568163828,-39.00035516462131,-360.9010119810041,False,0.0,0.0,False,1600,-1.0,0.25654295086860657,0.5,0.8999999761581421,1.0,210.0,1.0,44.75000083446503
20260923,1673.8574219605455,496.6378168134766,2170.4952387740223,True,0.0,0.0,False,170,-1.0,0.12275553494691849,0.5,0.8999999761581421,1.0,228.99999380111694,1.0,44.75000083446503
20260924,-339.47030674636585,-39.00035516462131,-378.47066191098713,False,0.0,0.0,False,1600,-1.0,0.4661852717399597,0.5,0.8999999761581421,1.0,210.0,1.0,44.75000083446503
20260925,3163.7737581807733,464.458200587991,3628.2319587687643,True,88.62169254189858,0.0,False,214,-1.0,1.0,0.5,0.8999999761581421,1.0,228.99999380111694,1.0,44.75000083446503
20260926,-338.03161196828324,-39.00035516462131,-377.0319671329046,False,0.0,0.0,False,1600,-1.0,0.5183645486831665,0.5,0.8999999761581421,1.0,210.0,1.0,44.75000083446503
20260927,-283.280560104373,-39.00035516462131,-322.28091526899436,False,0.0,0.0,False,1600,-1.0,0.5798637270927429,0.5,0.8999999761581421,1.0,210.0,1.0,44.75000083446503
20260928,3010.655150222382,495.6409448700333,3506.2960950924153,True,0.0,0.0,False,210,-1.0,1.0,0.5,0.8999999761581421,1.0,228.99999380111694,1.0,44.75000083446503
20260929,-245.53764175053638,-38.98543336603524,-284.5230751165716,False,0.0,0.0,False,1600,-1.0,0.5655853748321533,0.5,0.8999999761581421,1.0,210.0,1.0,44.75000083446503
20260930,2796.0397210922993,495.7157102657916,3291.755431358091,True,0.0,0.0,False,207,-1.0,0.9722165465354919,0.5,0.8999999761581421,1.0,228.99999380111694,1.0,44.75000083446503
20260931,-268.14246655474744,-39.00035516462131,-307.1428217193687,False,0.0,0.0,False,1600,-1.0,0.5300469994544983,0.5,0.8999999761581421,1.0,210.0,1.0,44.75000083446503
20260932,2373.2068664108892,496.139380841755,2869.3462472526444,True,0.0,0.0,False,190,-1.0,0.7270854115486145,0.5,0.8999999761581421,1.0,228.99999380111694,1.0,44.75000083446503
20260933,3164.518644948846,495.5163358771029,3660.034980825949,True,0.0,0.0,False,215,-1.0,0.8349738121032715,0.5,0.8999999761581421,1.0,228.99999380111694,1.0,44.75000083446503
20260934,-281.58873149040244,-39.00035516462131,-320.5890866550237,False,0.0,0.0,False,1600,-1.0,0.2672120928764343,0.5,0.8999999761581421,1.0,210.0,1.0,44.75000083446503
20260935,-232.47208619705202,-38.98543336603524,-271.45751956308726,False,0.0,0.0,False,1600,-1.0,0.46888765692710876,0.5,0.8999999761581421,1.0,210.0,1.0,44.75000083446503
20260936,-240.07234543962286,-38.98543336603524,-279.05777880565813,False,0.0,0.0,False,1600,-1.0,0.2453538179397583,0.5,0.8999999761581421,1.0,210.0,1.0,44.75000083446503
20260937,-316.97994215107224,-39.00035516462131,-355.9802973156935,False,0.0,0.0,False,1600,-1.0,0.39971819519996643,0.5,0.8999999761581421,1.0,210.0,1.0,44.75000083446503
20260938,2739.7846772017197,485.7877257675286,3225.5724029692483,True,63.631046323441474,0.0,False,200,-1.0,0.8110682368278503,0.5,0.8999999761581421,1.0,228.99999380111694,1.0,44.75000083446503
20260939,2248.94916554272,496.2390680360993,2745.1882335788196,True,0.0,0.0,False,186,-1.0,0.6650264263153076,0.5,0.8999999761581421,1.0,228.99999380111694,1.0,44.75000083446503
20260940,-236.30914748373658,-38.98543336603524,-275.2945808497718,False,0.0,0.0,False,1600,-1.0,0.4444195628166199,0.5,0.8999999761581421,1.0,210.0,1.0,44.75000083446503
