episode,reward_agent1,reward_agent2,reward_total,success,peak_force_N,peak_torque_Nm,jamming,steps,action1_min,action1_max,action2_min,action2_max,kp_min,kp_max,kd_min,kd_max
0,2282.7024300414582,496.0684945505764,2778.7709245920346,True,0.0,0.0,False,187,-1.0,0.843288004398346,0.47947290539741516,0.915867805480957,1.0,232.32812762260437,1.0,45.37059038877487
1,-236.35468087017807,-40.87534252383148,-277.23002339400955,False,0.0,0.0,False,1600,-1.0,0.3606998026371002,0.4801194369792938,0.9238646626472473,1.0,215.6301510334015,1.0,45.459106266498566
2,2486.4303482748965,495.9008522606678,2982.331200535564,True,0.0,0.0,False,193,-1.0,0.18914499878883362,0.4861668646335602,0.9175404906272888,1.0,233.5067367553711,1.0,45.347045958042145
3,2725.0188945970776,495.69255243482485,3220.7114470319025,True,0.0,0.0,False,201,-1.0,0.9967744946479797,0.4780619144439697,0.9258098602294922,1.0,234.9111247062683,1.0,45.3329873085022
4,-302.3457617470424,-40.89932208306219,-343.2450838301046,False,0.0,0.0,False,1600,-1.0,0.2396562099456787,0.47951704263687134,0.9227108359336853,1.0,214.91309523582458,1.0,45.45439153909683
5,2122.9545496432183,496.18511116425685,2619.139660807475,True,0.0,0.0,False,183,-1.0,0.8780150413513184,0.48189571499824524,0.9210505485534668,1.0,232.86664009094238,1.0,45.290665328502655
6,-318.06363988255225,-40.807094199965206,-358.87073408251746,False,0.0,0.0,False,1600,-1.0,0.6920057535171509,0.4773232638835907,0.9201949238777161,1.0,214.6520447731018,1.0,45.63446909189224
7,-325.2382353569832,-40.8853993008245,-366.12363465780766,False,0.0,0.0,False,1600,-1.0,0.33332863450050354,0.47670838236808777,0.923036515712738,1.0,215.79708695411682,1.0,45.557948648929596
8,2621.5930261056646,495.8078171826775,3117.400843288342,True,0.0,0.0,False,197,-1.0,1.0,0.47994109988212585,0.9199517965316772,1.0,233.95736455917358,1.0,45.61095803976059
9,-292.2564563324622,-40.79761329429851,-333.05406962676074,False,0.0,0.0,False,1600,-1.0,0.37213966250419617,0.4778178036212921,0.9218963980674744,1.0,214.8560345172882,1.0,45.62063157558441
