step,assembly_stage,stage_index,contact,jamming,success,dx,dy,dz,droll,dpitch,dyaw,Kx,Ky,Kz,Krx,Kry,Krz,Dx,Dy,Dz,Drx,Dry,Drz,Fx,Fy,Fz,Tx,Ty,Tz,peg1_lateral_error,peg2_lateral_error,peg1_insertion_depth,peg2_insertion_depth,relative_position_error,relative_orientation_error,agent1_reward,agent2_reward
0,LIFT,2,0,0,0,-0.19926324149978764,0.10426677591606791,-1.0,0.07353775122335317,0.13919492194224298,0.1278406933249838,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.005529133587695484,0.006265428185404447,0.0,0.0,0.01537465170317398,1.6223690336158656,-0.2083286229759885,-0.10062305898749056
1,TRANSPORT,3,0,0,0,0.0,0.0,-1.0,0.0,7.3767747739022e-18,0.0,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.003138797238248392,0.003556830058799706,0.0,0.0,0.029997476615106527,1.2274420638934356,-0.2156892829254335,0.0
2,COARSE_ALIGNMENT,4,0,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0017394772044431127,0.001960946589007346,0.0,0.0,0.04461013897522459,0.679930316967987,-0.2358444803213321,0.0
3,APPROACH,5,0,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0009960106883123386,0.0011108581860353039,0.0,0.0,0.05907220252163115,0.3536658731030769,-0.27240271198768945,0.0
4,APPROACH,5,0,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0005999635365188363,0.0006598408651316844,0.0,0.0,0.07324682617406277,0.18102129201013883,-0.31780486625214177,0.0
5,APPROACH,5,0,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0003854366868089548,0.0004181895678546005,0.0,0.0,0.08704442754911261,0.0928212611148032,-0.36703677516721894,0.0
6,APPROACH,5,0,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.00026664748588932304,0.0002869673160445939,0.0,0.0,0.10038955996671485,0.048797428552602426,-0.41726467197445516,0.0
7,APPROACH,5,0,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.00019892860848510788,0.00021454891657555916,0.0,0.0,0.11321339332479867,0.027564741088601224,-0.4668830367338638,0.0
8,APPROACH,5,0,0,0,0.0,0.0,-0.6831515625712492,0.0,0.0,0.0,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.00015894538419674578,0.00017384703332544384,0.0,0.0,0.12069948640113205,0.018278422255633017,-0.49593881292035163,0.0
9,APPROACH,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0001343800370775732,0.0001504051198822228,0.0,0.0,0.117303792830748,0.015458755201077475,-0.4818981618434483,0.0
10,APPROACH,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.00011822946014139052,0.00013598894697653189,0.0,0.0,0.11326610118968604,0.016089199263004072,-0.46551936626741086,0.0
11,APPROACH,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.00010593695948936797,0.00012540106672748796,0.0,0.0,0.1086223815829229,0.018451692985479183,-0.44682329473417204,0.0
12,APPROACH,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,9.554267091809131e-05,0.00011623703550941341,0.0,0.0,0.10341979007383459,0.021592758832885185,-0.4259386950510928,0.0
13,APPROACH,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,8.690718312386306e-05,0.0001078875474245244,0.0,0.0,0.09771389593153666,0.025128850170416744,-0.40307181332960496,0.0
14,APPROACH,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,8.020135040833477e-05,0.00010008642860991915,0.0,0.0,0.09156257735469511,0.02896128911787689,-0.37845081642701994,0.0
15,APPROACH,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,7.559211240767378e-05,9.264201569318883e-05,0.0,0.0,0.08501780022547258,0.033015815863423496,-0.3522814259647706,0.0
16,APPROACH,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,7.319327616679728e-05,8.544540044057227e-05,0.0,0.0,0.07812223034554626,0.03721405019021712,-0.32473229235077655,0.0
17,APPROACH,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,7.295596275093946e-05,7.844098210232611e-05,0.0,0.0,0.07091309541287037,0.041476154254880236,-0.29594940038952666,0.0
18,APPROACH,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,7.461667116459156e-05,7.159996890489878e-05,0.0,0.0,0.06342628434866013,0.04571377290657379,-0.2660716542912895,0.0
19,APPROACH,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,7.774799970790546e-05,6.490736459901268e-05,0.0,0.0,0.05569705652691513,0.049828286865849135,-0.23523397052177183,0.0
20,FIRST_CONTACT,6,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,307.8,307.8,482.3,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.8,1.3439999999999999,1.3439999999999999,0.96,0.0,0.0,0.0,0.0,0.0,0.0,8.186325316384023e-05,5.835587633887439e-05,0.0,0.0,0.04776034450225508,0.053712580000768326,-0.20356932310117345,0.5
21,COMPLIANT_ALIGNMENT,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,388.05000000000007,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,8.656121078769512e-05,5.199185000529251e-05,0.006597770912008104,0.00656684691675654,0.039650559641735965,0.05725532001675417,1.3333181480326655,-0.14093615575855617
