mode,episode,success,insertion_time_s,peak_contact_force_N,rms_contact_force_N,peak_torque_Nm,jam,target_translation_displacement_m,target_rotation_displacement_deg,target_peak_linear_velocity_mps,target_peak_angular_velocity_dps,relative_final_position_error_m,relative_final_orientation_error_deg,final_insertion_depth_m,final_stage,contact_steps,target_final_linear_velocity_mps,target_final_angular_velocity_dps
fixed,20260824,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260825,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260826,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260827,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260828,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260829,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260830,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260831,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260832,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260833,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260834,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260835,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260836,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260837,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260838,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260839,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260840,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260841,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260842,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260843,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260844,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260845,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260846,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260847,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260848,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260849,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260850,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260851,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260852,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260853,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260854,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260855,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260856,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260857,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260858,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260859,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260860,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260861,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260862,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260863,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260864,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260865,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
fixed,20260866,1,1.2,6.0240650049968805,0.5605197111572177,0.12192255387643323,0,0.0,0.0,0.0,0.0,0.00022686764549986326,0.10953587744935588,0.03002068900003514,SUCCESS,3,0.0,0.0
